trip_id,arrival_time,departure_time,stop_id,stop_sequence
RLE_NB_0540,09:00:00,09:00:00,rle-130th,1
RLE_NB_0540,09:03:00,09:03:00,rle-michigan,2
RLE_NB_0540,09:05:00,09:05:00,rle-111th,3
RLE_NB_0540,09:07:00,09:07:00,rle-103rd,4
RLE_NB_0540,09:10:00,09:10:00,rle-95th-dan-ryan,5
RLE_NB_0550,09:10:00,09:10:00,rle-130th,1
RLE_NB_0550,09:13:00,09:13:00,rle-michigan,2
RLE_NB_0550,09:15:00,09:15:00,rle-111th,3
RLE_NB_0550,09:17:00,09:17:00,rle-103rd,4
RLE_NB_0550,09:20:00,09:20:00,rle-95th-dan-ryan,5
RLE_NB_0560,09:20:00,09:20:00,rle-130th,1
RLE_NB_0560,09:23:00,09:23:00,rle-michigan,2
RLE_NB_0560,09:25:00,09:25:00,rle-111th,3
RLE_NB_0560,09:27:00,09:27:00,rle-103rd,4
RLE_NB_0560,09:30:00,09:30:00,rle-95th-dan-ryan,5
RLE_NB_0570,09:30:00,09:30:00,rle-130th,1
RLE_NB_0570,09:33:00,09:33:00,rle-michigan,2
RLE_NB_0570,09:35:00,09:35:00,rle-111th,3
RLE_NB_0570,09:37:00,09:37:00,rle-103rd,4
RLE_NB_0570,09:40:00,09:40:00,rle-95th-dan-ryan,5
RLE_NB_0580,09:40:00,09:40:00,rle-130th,1
RLE_NB_0580,09:43:00,09:43:00,rle-michigan,2
RLE_NB_0580,09:45:00,09:45:00,rle-111th,3
RLE_NB_0580,09:47:00,09:47:00,rle-103rd,4
RLE_NB_0580,09:50:00,09:50:00,rle-95th-dan-ryan,5
RLE_NB_0590,09:50:00,09:50:00,rle-130th,1
RLE_NB_0590,09:53:00,09:53:00,rle-michigan,2
RLE_NB_0590,09:55:00,09:55:00,rle-111th,3
RLE_NB_0590,09:57:00,09:57:00,rle-103rd,4
RLE_NB_0590,10:00:00,10:00:00,rle-95th-dan-ryan,5
RLE_NB_0600,10:00:00,10:00:00,rle-130th,1
RLE_NB_0600,10:03:00,10:03:00,rle-michigan,2
RLE_NB_0600,10:05:00,10:05:00,rle-111th,3
RLE_NB_0600,10:07:00,10:07:00,rle-103rd,4
RLE_NB_0600,10:10:00,10:10:00,rle-95th-dan-ryan,5
RLE_NB_0610,10:10:00,10:10:00,rle-130th,1
RLE_NB_0610,10:13:00,10:13:00,rle-michigan,2
RLE_NB_0610,10:15:00,10:15:00,rle-111th,3
RLE_NB_0610,10:17:00,10:17:00,rle-103rd,4
RLE_NB_0610,10:20:00,10:20:00,rle-95th-dan-ryan,5
RLE_NB_0620,10:20:00,10:20:00,rle-130th,1
RLE_NB_0620,10:23:00,10:23:00,rle-michigan,2
RLE_NB_0620,10:25:00,10:25:00,rle-111th,3
RLE_NB_0620,10:27:00,10:27:00,rle-103rd,4
RLE_NB_0620,10:30:00,10:30:00,rle-95th-dan-ryan,5
RLE_NB_0630,10:30:00,10:30:00,rle-130th,1
RLE_NB_0630,10:33:00,10:33:00,rle-michigan,2
RLE_NB_0630,10:35:00,10:35:00,rle-111th,3
RLE_NB_0630,10:37:00,10:37:00,rle-103rd,4
RLE_NB_0630,10:40:00,10:40:00,rle-95th-dan-ryan,5
RLE_NB_0640,10:40:00,10:40:00,rle-130th,1
RLE_NB_0640,10:43:00,10:43:00,rle-michigan,2
RLE_NB_0640,10:45:00,10:45:00,rle-111th,3
RLE_NB_0640,10:47:00,10:47:00,rle-103rd,4
RLE_NB_0640,10:50:00,10:50:00,rle-95th-dan-ryan,5
RLE_NB_0650,10:50:00,10:50:00,rle-130th,1
RLE_NB_0650,10:53:00,10:53:00,rle-michigan,2
RLE_NB_0650,10:55:00,10:55:00,rle-111th,3
RLE_NB_0650,10:57:00,10:57:00,rle-103rd,4
RLE_NB_0650,11:00:00,11:00:00,rle-95th-dan-ryan,5
RLE_NB_0660,11:00:00,11:00:00,rle-130th,1
RLE_NB_0660,11:03:00,11:03:00,rle-michigan,2
RLE_NB_0660,11:05:00,11:05:00,rle-111th,3
RLE_NB_0660,11:07:00,11:07:00,rle-103rd,4
RLE_NB_0660,11:10:00,11:10:00,rle-95th-dan-ryan,5
RLE_NB_0670,11:10:00,11:10:00,rle-130th,1
RLE_NB_0670,11:13:00,11:13:00,rle-michigan,2
RLE_NB_0670,11:15:00,11:15:00,rle-111th,3
RLE_NB_0670,11:17:00,11:17:00,rle-103rd,4
RLE_NB_0670,11:20:00,11:20:00,rle-95th-dan-ryan,5
RLE_NB_0680,11:20:00,11:20:00,rle-130th,1
RLE_NB_0680,11:23:00,11:23:00,rle-michigan,2
RLE_NB_0680,11:25:00,11:25:00,rle-111th,3
RLE_NB_0680,11:27:00,11:27:00,rle-103rd,4
RLE_NB_0680,11:30:00,11:30:00,rle-95th-dan-ryan,5
RLE_NB_0690,11:30:00,11:30:00,rle-130th,1
RLE_NB_0690,11:33:00,11:33:00,rle-michigan,2
RLE_NB_0690,11:35:00,11:35:00,rle-111th,3
RLE_NB_0690,11:37:00,11:37:00,rle-103rd,4
RLE_NB_0690,11:40:00,11:40:00,rle-95th-dan-ryan,5
RLE_NB_0700,11:40:00,11:40:00,rle-130th,1
RLE_NB_0700,11:43:00,11:43:00,rle-michigan,2
RLE_NB_0700,11:45:00,11:45:00,rle-111th,3
RLE_NB_0700,11:47:00,11:47:00,rle-103rd,4
RLE_NB_0700,11:50:00,11:50:00,rle-95th-dan-ryan,5
RLE_NB_0710,11:50:00,11:50:00,rle-130th,1
RLE_NB_0710,11:53:00,11:53:00,rle-michigan,2
RLE_NB_0710,11:55:00,11:55:00,rle-111th,3
RLE_NB_0710,11:57:00,11:57:00,rle-103rd,4
RLE_NB_0710,12:00:00,12:00:00,rle-95th-dan-ryan,5
RLE_NB_0720,12:00:00,12:00:00,rle-130th,1
RLE_NB_0720,12:03:00,12:03:00,rle-michigan,2
RLE_NB_0720,12:05:00,12:05:00,rle-111th,3
RLE_NB_0720,12:07:00,12:07:00,rle-103rd,4
RLE_NB_0720,12:10:00,12:10:00,rle-95th-dan-ryan,5
RLE_NB_0730,12:10:00,12:10:00,rle-130th,1
RLE_NB_0730,12:13:00,12:13:00,rle-michigan,2
RLE_NB_0730,12:15:00,12:15:00,rle-111th,3
RLE_NB_0730,12:17:00,12:17:00,rle-103rd,4
RLE_NB_0730,12:20:00,12:20:00,rle-95th-dan-ryan,5
RLE_NB_0740,12:20:00,12:20:00,rle-130th,1
RLE_NB_0740,12:23:00,12:23:00,rle-michigan,2
RLE_NB_0740,12:25:00,12:25:00,rle-111th,3
RLE_NB_0740,12:27:00,12:27:00,rle-103rd,4
RLE_NB_0740,12:30:00,12:30:00,rle-95th-dan-ryan,5
RLE_NB_0750,12:30:00,12:30:00,rle-130th,1
RLE_NB_0750,12:33:00,12:33:00,rle-michigan,2
RLE_NB_0750,12:35:00,12:35:00,rle-111th,3
RLE_NB_0750,12:37:00,12:37:00,rle-103rd,4
RLE_NB_0750,12:40:00,12:40:00,rle-95th-dan-ryan,5
RLE_NB_0760,12:40:00,12:40:00,rle-130th,1
RLE_NB_0760,12:43:00,12:43:00,rle-michigan,2
RLE_NB_0760,12:45:00,12:45:00,rle-111th,3
RLE_NB_0760,12:47:00,12:47:00,rle-103rd,4
RLE_NB_0760,12:50:00,12:50:00,rle-95th-dan-ryan,5
RLE_NB_0770,12:50:00,12:50:00,rle-130th,1
RLE_NB_0770,12:53:00,12:53:00,rle-michigan,2
RLE_NB_0770,12:55:00,12:55:00,rle-111th,3
RLE_NB_0770,12:57:00,12:57:00,rle-103rd,4
RLE_NB_0770,13:00:00,13:00:00,rle-95th-dan-ryan,5
RLE_NB_0780,13:00:00,13:00:00,rle-130th,1
RLE_NB_0780,13:03:00,13:03:00,rle-michigan,2
RLE_NB_0780,13:05:00,13:05:00,rle-111th,3
RLE_NB_0780,13:07:00,13:07:00,rle-103rd,4
RLE_NB_0780,13:10:00,13:10:00,rle-95th-dan-ryan,5
RLE_NB_0790,13:10:00,13:10:00,rle-130th,1
RLE_NB_0790,13:13:00,13:13:00,rle-michigan,2
RLE_NB_0790,13:15:00,13:15:00,rle-111th,3
RLE_NB_0790,13:17:00,13:17:00,rle-103rd,4
RLE_NB_0790,13:20:00,13:20:00,rle-95th-dan-ryan,5
RLE_NB_0800,13:20:00,13:20:00,rle-130th,1
RLE_NB_0800,13:23:00,13:23:00,rle-michigan,2
RLE_NB_0800,13:25:00,13:25:00,rle-111th,3
RLE_NB_0800,13:27:00,13:27:00,rle-103rd,4
RLE_NB_0800,13:30:00,13:30:00,rle-95th-dan-ryan,5
RLE_NB_0810,13:30:00,13:30:00,rle-130th,1
RLE_NB_0810,13:33:00,13:33:00,rle-michigan,2
RLE_NB_0810,13:35:00,13:35:00,rle-111th,3
RLE_NB_0810,13:37:00,13:37:00,rle-103rd,4
RLE_NB_0810,13:40:00,13:40:00,rle-95th-dan-ryan,5
RLE_NB_0820,13:40:00,13:40:00,rle-130th,1
RLE_NB_0820,13:43:00,13:43:00,rle-michigan,2
RLE_NB_0820,13:45:00,13:45:00,rle-111th,3
RLE_NB_0820,13:47:00,13:47:00,rle-103rd,4
RLE_NB_0820,13:50:00,13:50:00,rle-95th-dan-ryan,5
RLE_NB_0830,13:50:00,13:50:00,rle-130th,1
RLE_NB_0830,13:53:00,13:53:00,rle-michigan,2
RLE_NB_0830,13:55:00,13:55:00,rle-111th,3
RLE_NB_0830,13:57:00,13:57:00,rle-103rd,4
RLE_NB_0830,14:00:00,14:00:00,rle-95th-dan-ryan,5
RLE_NB_0840,14:00:00,14:00:00,rle-130th,1
RLE_NB_0840,14:03:00,14:03:00,rle-michigan,2
RLE_NB_0840,14:05:00,14:05:00,rle-111th,3
RLE_NB_0840,14:07:00,14:07:00,rle-103rd,4
RLE_NB_0840,14:10:00,14:10:00,rle-95th-dan-ryan,5
RLE_NB_0850,14:10:00,14:10:00,rle-130th,1
RLE_NB_0850,14:13:00,14:13:00,rle-michigan,2
RLE_NB_0850,14:15:00,14:15:00,rle-111th,3
RLE_NB_0850,14:17:00,14:17:00,rle-103rd,4
RLE_NB_0850,14:20:00,14:20:00,rle-95th-dan-ryan,5
RLE_NB_0860,14:20:00,14:20:00,rle-130th,1
RLE_NB_0860,14:23:00,14:23:00,rle-michigan,2
RLE_NB_0860,14:25:00,14:25:00,rle-111th,3
RLE_NB_0860,14:27:00,14:27:00,rle-103rd,4
RLE_NB_0860,14:30:00,14:30:00,rle-95th-dan-ryan,5
RLE_NB_0870,14:30:00,14:30:00,rle-130th,1
RLE_NB_0870,14:33:00,14:33:00,rle-michigan,2
RLE_NB_0870,14:35:00,14:35:00,rle-111th,3
RLE_NB_0870,14:37:00,14:37:00,rle-103rd,4
RLE_NB_0870,14:40:00,14:40:00,rle-95th-dan-ryan,5
RLE_NB_0880,14:40:00,14:40:00,rle-130th,1
RLE_NB_0880,14:43:00,14:43:00,rle-michigan,2
RLE_NB_0880,14:45:00,14:45:00,rle-111th,3
RLE_NB_0880,14:47:00,14:47:00,rle-103rd,4
RLE_NB_0880,14:50:00,14:50:00,rle-95th-dan-ryan,5
RLE_NB_0890,14:50:00,14:50:00,rle-130th,1
RLE_NB_0890,14:53:00,14:53:00,rle-michigan,2
RLE_NB_0890,14:55:00,14:55:00,rle-111th,3
RLE_NB_0890,14:57:00,14:57:00,rle-103rd,4
RLE_NB_0890,15:00:00,15:00:00,rle-95th-dan-ryan,5
RLE_NB_0900,15:00:00,15:00:00,rle-130th,1
RLE_NB_0900,15:03:00,15:03:00,rle-michigan,2
RLE_NB_0900,15:05:00,15:05:00,rle-111th,3
RLE_NB_0900,15:07:00,15:07:00,rle-103rd,4
RLE_NB_0900,15:10:00,15:10:00,rle-95th-dan-ryan,5
RLE_NB_0910,15:10:00,15:10:00,rle-130th,1
RLE_NB_0910,15:13:00,15:13:00,rle-michigan,2
RLE_NB_0910,15:15:00,15:15:00,rle-111th,3
RLE_NB_0910,15:17:00,15:17:00,rle-103rd,4
RLE_NB_0910,15:20:00,15:20:00,rle-95th-dan-ryan,5
RLE_NB_0920,15:20:00,15:20:00,rle-130th,1
RLE_NB_0920,15:23:00,15:23:00,rle-michigan,2
RLE_NB_0920,15:25:00,15:25:00,rle-111th,3
RLE_NB_0920,15:27:00,15:27:00,rle-103rd,4
RLE_NB_0920,15:30:00,15:30:00,rle-95th-dan-ryan,5
RLE_NB_0930,15:30:00,15:30:00,rle-130th,1
RLE_NB_0930,15:33:00,15:33:00,rle-michigan,2
RLE_NB_0930,15:35:00,15:35:00,rle-111th,3
RLE_NB_0930,15:37:00,15:37:00,rle-103rd,4
RLE_NB_0930,15:40:00,15:40:00,rle-95th-dan-ryan,5
RLE_NB_0940,15:40:00,15:40:00,rle-130th,1
RLE_NB_0940,15:43:00,15:43:00,rle-michigan,2
RLE_NB_0940,15:45:00,15:45:00,rle-111th,3
RLE_NB_0940,15:47:00,15:47:00,rle-103rd,4
RLE_NB_0940,15:50:00,15:50:00,rle-95th-dan-ryan,5
RLE_NB_0950,15:50:00,15:50:00,rle-130th,1
RLE_NB_0950,15:53:00,15:53:00,rle-michigan,2
RLE_NB_0950,15:55:00,15:55:00,rle-111th,3
RLE_NB_0950,15:57:00,15:57:00,rle-103rd,4
RLE_NB_0950,16:00:00,16:00:00,rle-95th-dan-ryan,5
RLE_NB_0960,16:00:00,16:00:00,rle-130th,1
RLE_NB_0960,16:03:00,16:03:00,rle-michigan,2
RLE_NB_0960,16:05:00,16:05:00,rle-111th,3
RLE_NB_0960,16:07:00,16:07:00,rle-103rd,4
RLE_NB_0960,16:10:00,16:10:00,rle-95th-dan-ryan,5
RLE_NB_0970,16:10:00,16:10:00,rle-130th,1
RLE_NB_0970,16:13:00,16:13:00,rle-michigan,2
RLE_NB_0970,16:15:00,16:15:00,rle-111th,3
RLE_NB_0970,16:17:00,16:17:00,rle-103rd,4
RLE_NB_0970,16:20:00,16:20:00,rle-95th-dan-ryan,5
RLE_NB_0980,16:20:00,16:20:00,rle-130th,1
RLE_NB_0980,16:23:00,16:23:00,rle-michigan,2
RLE_NB_0980,16:25:00,16:25:00,rle-111th,3
RLE_NB_0980,16:27:00,16:27:00,rle-103rd,4
RLE_NB_0980,16:30:00,16:30:00,rle-95th-dan-ryan,5
RLE_NB_0990,16:30:00,16:30:00,rle-130th,1
RLE_NB_0990,16:33:00,16:33:00,rle-michigan,2
RLE_NB_0990,16:35:00,16:35:00,rle-111th,3
RLE_NB_0990,16:37:00,16:37:00,rle-103rd,4
RLE_NB_0990,16:40:00,16:40:00,rle-95th-dan-ryan,5
RLE_NB_1000,16:40:00,16:40:00,rle-130th,1
RLE_NB_1000,16:43:00,16:43:00,rle-michigan,2
RLE_NB_1000,16:45:00,16:45:00,rle-111th,3
RLE_NB_1000,16:47:00,16:47:00,rle-103rd,4
RLE_NB_1000,16:50:00,16:50:00,rle-95th-dan-ryan,5
RLE_NB_1010,16:50:00,16:50:00,rle-130th,1
RLE_NB_1010,16:53:00,16:53:00,rle-michigan,2
RLE_NB_1010,16:55:00,16:55:00,rle-111th,3
RLE_NB_1010,16:57:00,16:57:00,rle-103rd,4
RLE_NB_1010,17:00:00,17:00:00,rle-95th-dan-ryan,5
RLE_NB_1020,17:00:00,17:00:00,rle-130th,1
RLE_NB_1020,17:03:00,17:03:00,rle-michigan,2
RLE_NB_1020,17:05:00,17:05:00,rle-111th,3
RLE_NB_1020,17:07:00,17:07:00,rle-103rd,4
RLE_NB_1020,17:10:00,17:10:00,rle-95th-dan-ryan,5
RLE_NB_1030,17:10:00,17:10:00,rle-130th,1
RLE_NB_1030,17:13:00,17:13:00,rle-michigan,2
RLE_NB_1030,17:15:00,17:15:00,rle-111th,3
RLE_NB_1030,17:17:00,17:17:00,rle-103rd,4
RLE_NB_1030,17:20:00,17:20:00,rle-95th-dan-ryan,5
RLE_NB_1040,17:20:00,17:20:00,rle-130th,1
RLE_NB_1040,17:23:00,17:23:00,rle-michigan,2
RLE_NB_1040,17:25:00,17:25:00,rle-111th,3
RLE_NB_1040,17:27:00,17:27:00,rle-103rd,4
RLE_NB_1040,17:30:00,17:30:00,rle-95th-dan-ryan,5
RLE_NB_1050,17:30:00,17:30:00,rle-130th,1
RLE_NB_1050,17:33:00,17:33:00,rle-michigan,2
RLE_NB_1050,17:35:00,17:35:00,rle-111th,3
RLE_NB_1050,17:37:00,17:37:00,rle-103rd,4
RLE_NB_1050,17:40:00,17:40:00,rle-95th-dan-ryan,5
RLE_NB_1060,17:40:00,17:40:00,rle-130th,1
RLE_NB_1060,17:43:00,17:43:00,rle-michigan,2
RLE_NB_1060,17:45:00,17:45:00,rle-111th,3
RLE_NB_1060,17:47:00,17:47:00,rle-103rd,4
RLE_NB_1060,17:50:00,17:50:00,rle-95th-dan-ryan,5
RLE_NB_1070,17:50:00,17:50:00,rle-130th,1
RLE_NB_1070,17:53:00,17:53:00,rle-michigan,2
RLE_NB_1070,17:55:00,17:55:00,rle-111th,3
RLE_NB_1070,17:57:00,17:57:00,rle-103rd,4
RLE_NB_1070,18:00:00,18:00:00,rle-95th-dan-ryan,5
RLE_NB_1080,18:00:00,18:00:00,rle-130th,1
RLE_NB_1080,18:03:00,18:03:00,rle-michigan,2
RLE_NB_1080,18:05:00,18:05:00,rle-111th,3
RLE_NB_1080,18:07:00,18:07:00,rle-103rd,4
RLE_NB_1080,18:10:00,18:10:00,rle-95th-dan-ryan,5
RLE_NB_1090,18:10:00,18:10:00,rle-130th,1
RLE_NB_1090,18:13:00,18:13:00,rle-michigan,2
RLE_NB_1090,18:15:00,18:15:00,rle-111th,3
RLE_NB_1090,18:17:00,18:17:00,rle-103rd,4
RLE_NB_1090,18:20:00,18:20:00,rle-95th-dan-ryan,5
RLE_NB_1100,18:20:00,18:20:00,rle-130th,1
RLE_NB_1100,18:23:00,18:23:00,rle-michigan,2
RLE_NB_1100,18:25:00,18:25:00,rle-111th,3
RLE_NB_1100,18:27:00,18:27:00,rle-103rd,4
RLE_NB_1100,18:30:00,18:30:00,rle-95th-dan-ryan,5
RLE_NB_1110,18:30:00,18:30:00,rle-130th,1
RLE_NB_1110,18:33:00,18:33:00,rle-michigan,2
RLE_NB_1110,18:35:00,18:35:00,rle-111th,3
RLE_NB_1110,18:37:00,18:37:00,rle-103rd,4
RLE_NB_1110,18:40:00,18:40:00,rle-95th-dan-ryan,5
RLE_NB_1120,18:40:00,18:40:00,rle-130th,1
RLE_NB_1120,18:43:00,18:43:00,rle-michigan,2
RLE_NB_1120,18:45:00,18:45:00,rle-111th,3
RLE_NB_1120,18:47:00,18:47:00,rle-103rd,4
RLE_NB_1120,18:50:00,18:50:00,rle-95th-dan-ryan,5
RLE_NB_1130,18:50:00,18:50:00,rle-130th,1
RLE_NB_1130,18:53:00,18:53:00,rle-michigan,2
RLE_NB_1130,18:55:00,18:55:00,rle-111th,3
RLE_NB_1130,18:57:00,18:57:00,rle-103rd,4
RLE_NB_1130,19:00:00,19:00:00,rle-95th-dan-ryan,5
RLE_NB_1140,19:00:00,19:00:00,rle-130th,1
RLE_NB_1140,19:03:00,19:03:00,rle-michigan,2
RLE_NB_1140,19:05:00,19:05:00,rle-111th,3
RLE_NB_1140,19:07:00,19:07:00,rle-103rd,4
RLE_NB_1140,19:10:00,19:10:00,rle-95th-dan-ryan,5
RLE_NB_1150,19:10:00,19:10:00,rle-130th,1
RLE_NB_1150,19:13:00,19:13:00,rle-michigan,2
RLE_NB_1150,19:15:00,19:15:00,rle-111th,3
RLE_NB_1150,19:17:00,19:17:00,rle-103rd,4
RLE_NB_1150,19:20:00,19:20:00,rle-95th-dan-ryan,5
RLE_NB_1160,19:20:00,19:20:00,rle-130th,1
RLE_NB_1160,19:23:00,19:23:00,rle-michigan,2
RLE_NB_1160,19:25:00,19:25:00,rle-111th,3
RLE_NB_1160,19:27:00,19:27:00,rle-103rd,4
RLE_NB_1160,19:30:00,19:30:00,rle-95th-dan-ryan,5
RLE_NB_1170,19:30:00,19:30:00,rle-130th,1
RLE_NB_1170,19:33:00,19:33:00,rle-michigan,2
RLE_NB_1170,19:35:00,19:35:00,rle-111th,3
RLE_NB_1170,19:37:00,19:37:00,rle-103rd,4
RLE_NB_1170,19:40:00,19:40:00,rle-95th-dan-ryan,5
RLE_NB_1180,19:40:00,19:40:00,rle-130th,1
RLE_NB_1180,19:43:00,19:43:00,rle-michigan,2
RLE_NB_1180,19:45:00,19:45:00,rle-111th,3
RLE_NB_1180,19:47:00,19:47:00,rle-103rd,4
RLE_NB_1180,19:50:00,19:50:00,rle-95th-dan-ryan,5
RLE_NB_1190,19:50:00,19:50:00,rle-130th,1
RLE_NB_1190,19:53:00,19:53:00,rle-michigan,2
RLE_NB_1190,19:55:00,19:55:00,rle-111th,3
RLE_NB_1190,19:57:00,19:57:00,rle-103rd,4
RLE_NB_1190,20:00:00,20:00:00,rle-95th-dan-ryan,5
RLE_NB_1200,20:00:00,20:00:00,rle-130th,1
RLE_NB_1200,20:03:00,20:03:00,rle-michigan,2
RLE_NB_1200,20:05:00,20:05:00,rle-111th,3
RLE_NB_1200,20:07:00,20:07:00,rle-103rd,4
RLE_NB_1200,20:10:00,20:10:00,rle-95th-dan-ryan,5
RLE_NB_1210,20:10:00,20:10:00,rle-130th,1
RLE_NB_1210,20:13:00,20:13:00,rle-michigan,2
RLE_NB_1210,20:15:00,20:15:00,rle-111th,3
RLE_NB_1210,20:17:00,20:17:00,rle-103rd,4
RLE_NB_1210,20:20:00,20:20:00,rle-95th-dan-ryan,5
RLE_NB_1220,20:20:00,20:20:00,rle-130th,1
RLE_NB_1220,20:23:00,20:23:00,rle-michigan,2
RLE_NB_1220,20:25:00,20:25:00,rle-111th,3
RLE_NB_1220,20:27:00,20:27:00,rle-103rd,4
RLE_NB_1220,20:30:00,20:30:00,rle-95th-dan-ryan,5
RLE_NB_1230,20:30:00,20:30:00,rle-130th,1
RLE_NB_1230,20:33:00,20:33:00,rle-michigan,2
RLE_NB_1230,20:35:00,20:35:00,rle-111th,3
RLE_NB_1230,20:37:00,20:37:00,rle-103rd,4
RLE_NB_1230,20:40:00,20:40:00,rle-95th-dan-ryan,5
RLE_NB_1240,20:40:00,20:40:00,rle-130th,1
RLE_NB_1240,20:43:00,20:43:00,rle-michigan,2
RLE_NB_1240,20:45:00,20:45:00,rle-111th,3
RLE_NB_1240,20:47:00,20:47:00,rle-103rd,4
RLE_NB_1240,20:50:00,20:50:00,rle-95th-dan-ryan,5
RLE_NB_1250,20:50:00,20:50:00,rle-130th,1
RLE_NB_1250,20:53:00,20:53:00,rle-michigan,2
RLE_NB_1250,20:55:00,20:55:00,rle-111th,3
RLE_NB_1250,20:57:00,20:57:00,rle-103rd,4
RLE_NB_1250,21:00:00,21:00:00,rle-95th-dan-ryan,5
RLE_NB_1260,21:00:00,21:00:00,rle-130th,1
RLE_NB_1260,21:03:00,21:03:00,rle-michigan,2
RLE_NB_1260,21:05:00,21:05:00,rle-111th,3
RLE_NB_1260,21:07:00,21:07:00,rle-103rd,4
RLE_NB_1260,21:10:00,21:10:00,rle-95th-dan-ryan,5
RLE_NB_1270,21:10:00,21:10:00,rle-130th,1
RLE_NB_1270,21:13:00,21:13:00,rle-michigan,2
RLE_NB_1270,21:15:00,21:15:00,rle-111th,3
RLE_NB_1270,21:17:00,21:17:00,rle-103rd,4
RLE_NB_1270,21:20:00,21:20:00,rle-95th-dan-ryan,5
RLE_NB_1280,21:20:00,21:20:00,rle-130th,1
RLE_NB_1280,21:23:00,21:23:00,rle-michigan,2
RLE_NB_1280,21:25:00,21:25:00,rle-111th,3
RLE_NB_1280,21:27:00,21:27:00,rle-103rd,4
RLE_NB_1280,21:30:00,21:30:00,rle-95th-dan-ryan,5
RLE_NB_1290,21:30:00,21:30:00,rle-130th,1
RLE_NB_1290,21:33:00,21:33:00,rle-michigan,2
RLE_NB_1290,21:35:00,21:35:00,rle-111th,3
